Element,Mz_i,Mz_j,Vy_i,Vy_j
15,1.1901590823981678e-13,-6.326409811754969,-2.2774893123172473,2.2774893123172473
24,6.326409811754573,-13.103262990249593,-2.4396476270771905,2.4396476270771905
33,13.10326299024835,-20.434362938017554,-2.6392698807535746,2.6392698807535746
42,20.434362938016356,-22.989483648428113,-0.9198360970594556,0.9198360970594556
51,22.989483648428354,-17.475308151452275,1.9850872982130034,-1.9850872982130034
60,17.475308151452886,-13.145606291454381,1.5586802001578608,-1.5586802001578608
69,13.145606291454918,-8.882924249789717,1.5346085040375836,-1.5346085040375836
78,8.882924249789525,-4.3080849261230245,1.6469289810880918,-1.6469289810880918
83,4.3080849261228105,-1.3145040611561853e-13,1.550898166218835,-1.550898166218835
